K,lambda_cost,lambda_safety,noise_sigma,score_mean,score_std,stability_jaccard_mean,stability_jaccard_std,n_runs
9,0.5,0.5,0.0,0.0,0.0,1.0,0.0,3
9,0.5,1.0,0.0,0.0,0.0,1.0,0.0,3
9,0.5,2.0,0.0,0.0,0.0,1.0,0.0,3
9,1.0,0.5,0.0,9.0,0.0,1.0,0.0,3
9,1.0,1.0,0.0,9.0,0.0,1.0,0.0,3
9,1.0,2.0,0.0,9.0,0.0,1.0,0.0,3
9,2.0,0.5,0.0,27.0,0.0,1.0,0.0,3
9,2.0,1.0,0.0,27.0,0.0,1.0,0.0,3
9,2.0,2.0,0.0,27.0,0.0,1.0,0.0,3
12,0.5,0.5,0.0,0.0,0.0,0.75,0.0,3
12,0.5,1.0,0.0,0.0,0.0,0.75,0.0,3
12,0.5,2.0,0.0,0.0,0.0,0.75,0.0,3
12,1.0,0.5,0.0,12.0,0.0,0.75,0.0,3
12,1.0,1.0,0.0,12.0,0.0,0.75,0.0,3
12,1.0,2.0,0.0,12.0,0.0,0.75,0.0,3
12,2.0,0.5,0.0,36.0,0.0,0.75,0.0,3
12,2.0,1.0,0.0,36.0,0.0,0.75,0.0,3
12,2.0,2.0,0.0,36.0,0.0,0.75,0.0,3
6,0.5,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,3
6,0.5,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,3
6,0.5,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,3
6,1.0,0.5,0.0,6.0,0.0,0.6666666666666666,0.0,3
6,1.0,1.0,0.0,6.0,0.0,0.6666666666666666,0.0,3
6,1.0,2.0,0.0,6.0,0.0,0.6666666666666666,0.0,3
6,2.0,0.5,0.0,18.0,0.0,0.6666666666666666,0.0,3
6,2.0,1.0,0.0,18.0,0.0,0.6666666666666666,0.0,3
6,2.0,2.0,0.0,18.0,0.0,0.6666666666666666,0.0,3
12,0.5,1.0,0.1,-2.7293039977269413e-09,1.7029204340030425e-10,0.14860681114551083,0.06129718227004127,3
12,0.5,1.0,0.05,-1.3646519618560366e-09,8.514581772193367e-11,0.14860681114551083,0.06129718227004127,3
12,1.0,2.0,0.1,11.999999995566162,1.4686371375976998e-10,0.14860681114551083,0.06129718227004127,3
12,1.0,2.0,0.05,11.99999999778308,7.343151916071402e-11,0.14860681114551083,0.06129718227004127,3
12,2.0,0.5,0.1,35.9999999959048,2.7323947926622725e-10,0.14619883040935672,0.02894589162751949,3
12,2.0,0.5,0.05,35.99999999795241,1.3662231284087214e-10,0.14619883040935672,0.02894589162751949,3
9,0.5,2.0,0.1,-3.4216213338104227e-09,9.102473069030522e-11,0.12794117647058825,0.05767256338566935,3
9,0.5,2.0,0.05,-1.7108107224163626e-09,4.551270167032792e-11,0.12794117647058825,0.05767256338566935,3
9,1.0,0.5,0.1,8.999999997690244,2.213894688484536e-10,0.12794117647058825,0.05767256338566935,3
9,1.0,0.5,0.05,8.999999998845121,1.1069456209931455e-10,0.12794117647058825,0.05767256338566935,3
12,1.0,0.5,0.1,11.999999997246945,2.182965502879005e-10,0.12777777777777777,0.054997194092287024,3
12,1.0,0.5,0.05,11.999999998623473,1.091482055715364e-10,0.12777777777777777,0.054997194092287024,3
12,2.0,1.0,0.1,35.999999995533045,3.351469074068895e-10,0.12777777777777777,0.054997194092287024,3
12,2.0,1.0,0.05,35.999999997766515,1.6757561406716235e-10,0.12777777777777777,0.054997194092287024,3
12,1.0,1.0,0.1,11.999999996773836,2.2315475128644198e-10,0.12573099415204678,0.02894589162751949,3
12,1.0,1.0,0.05,11.999999998386917,1.1157813789769292e-10,0.12573099415204678,0.02894589162751949,3
9,2.0,2.0,0.1,26.999999995448672,3.0900044476355377e-10,0.10833333333333334,0.08249579113843056,3
9,2.0,1.0,0.1,26.999999996271214,2.9521327681964713e-10,0.10833333333333334,0.08249579113843056,3
9,2.0,0.5,0.1,26.99999999656246,2.3112902627461404e-10,0.10833333333333334,0.08249579113843056,3
9,2.0,2.0,0.05,26.999999997724334,1.544997721438749e-10,0.10833333333333334,0.08249579113843056,3
